id,nome,fonte,descricao,equipamento,caracteristica,personalidadessugeridas,created_at,skill_proficiencies,tool_proficiencies,language_count,language_options
criminoso,Criminoso,Livro do Jogador,Você é um criminoso experiente com um histórico de violação da lei. Você passou muito tempo entre outros criminosos e ainda mantém contatos no submundo do crime.,"[""Um pé de cabra"",""Um conjunto de roupas escuras comuns com capuz"",""Uma bolsa contendo 15 po""]","{""nome"":""Contato Criminal"",""descricao"":""Você tem um contato confiável e confiável que atua como seu elo de ligação com uma rede de outros criminosos. Você sabe como entrar em contato com seu contato e enviar mensagens, mesmo através de grandes distâncias; especificamente, você conhece os mensageiros locais, mestres de caravanas corruptos e marinheiros duvidosos que podem entregar mensagens para você.""}","{""ideais"":[""Honra. Eu não roubo de irmãos de profissão. (Leal)"",""Liberdade. Correntes foram feitas para serem partidas, assim como aqueles que as forjaram. (Caótico)"",""Caridade. Eu roubo dos ricos para dar aos que realmente precisam. (Bom)"",""Ganância. Eu farei qualquer coisa para me tornar rico. (Mal)"",""Povo. Eu sou leal aos meus amigos, não a qualquer ideal, e todos sabem que posso viajar até o Estige por aqueles que me importo. (Neutro)"",""Redenção. Há uma centelha de bondade em todo mundo. (Bom)""],""tracos"":[""Eu sempre tenho um plano para quando as coisas dão errado."",""Eu estou sempre calmo, não importa a situação. Eu nunca levanto minha voz ou deixo minhas emoções me controlarem."",""A primeira coisa que faço ao chegar a um novo local é decorar a localização de coisas valiosas – ou onde essas coisas podem estar escondidas."",""Eu prefiro fazer um novo amigo a um novo inimigo."",""Eu sou incrivelmente receoso em confiar. Aqueles que parecem mais amigáveis geralmente têm mais a esconder."",""Eu não presto atenção aos riscos envolvidos em uma situação, nunca me alerte sobre as probabilidades de fracasso."",""A melhor maneira de me levar a fazer algo é dizendo que eu não posso fazer."",""Eu explodo ao menor insulto.""],""defeitos"":[""Quando vejo algo valioso, não consigo pensar em mais nada, além de roubá-lo."",""Quando confrontado com uma escolha entre dinheiro e amigo, eu bem que escolho o dinheiro."",""Se há um plano, eu vou esquecê-lo. Se eu não esquecê-lo, vou ignorá-lo."",""Eu tenho um \""tique\"" que revela se estou mentindo."",""Eu viro as costas e corro quando as coisas começam a ficar ruins."",""Um inocente foi preso por um crime que eu cometi. Por mim tudo bem.""],""vinculos"":[""Eu estou tentando quitar uma dívida que tenho com um generoso benfeitor."",""Meus ganhos, honestos ou não, são para sustentar minha família."",""Algo importante foi roubado de mim, e eu vou recuperá-lo."",""Eu me tornarei o maior ladrão que já existiu."",""Eu sou culpado por um terrível crime, espero algum dia poder me redimir."",""Alguém que amo morreu por causa de um erro que cometi. Isso nunca acontecerá novamente.""]}",2025-10-17 02:22:45.775478+00,"[""Enganação"",""Furtividade""]","[""Um tipo de kit de jogo"",""Ferramentas de ladrão""]",0,
eremita,Eremita,Livro do Jogador,"Você viveu em reclusão - seja em uma comunidade protegida como um mosteiro, ou inteiramente sozinho - por uma parte formativa de sua vida. Em seu tempo afastado do clamor da sociedade, você encontrou silêncio, solidão e talvez algumas das respostas que procurava.","[""Um estojo de pergaminho cheio de notas de seus estudos ou orações"",""Um cobertor de inverno"",""Um conjunto de roupas comuns"",""Um kit de herbalismo"",""5 po""]","{""nome"":""Descoberta"",""descricao"":""A natureza quieta de sua reclusão extensa lhe deu acesso a uma descoberta única e poderosa. A natureza exata desta revelação depende da natureza de sua reclusão. Pode ser um grande segredo sobre o cosmos, os deuses, os seres poderosos de outros planos, ou as forças da natureza. Pode ser um local que ninguém mais jamais viu. Você pode ter descoberto um fato que foi esquecido há muito tempo, ou desenterrado alguma relíquia do passado que poderia reescrever a história.""}","{""ideais"":[""Bem Maior. Meus dons devem ser partilhados com todos, não usados em benefício próprio (Bom)"",""Lógica. Emoções não podem obscurecer meus sentidos do que é certo e verdade, ou meu pensamento lógico. (Leal)"",""Pensamento Livre. Questionamentos e curiosidade são os pilares do progresso. (Caótico)"",""Poder. Isolamento e contemplação são caminhos para poderes místicos e mágicos. (Mau)"",""Viva e Deixe Viver. Se intrometer nos assuntos dos outros só traz problemas. (Neutro)"",""Autoconhecimento. Se você conhece a si mesmo, não a mais nada para saber. (Qualquer)""],""tracos"":[""Eu fiquei tanto tempo isolado que raramente falo, preferindo gestos e grunhidos ocasionais."",""Eu sou absurdamente sereno, mesmo em face do desespero."",""O líder da minha comunidade tem algo sábio a dizer sobre cada tópico, eu estou ansioso para partilhar dessa sabedoria."",""Eu sinto uma empatia tremenda por todos que sofrem."",""Eu estou alheio a etiqueta e expectativas sociais."",""Eu relaciono tudo que acontece comigo a um grande plano cósmico."",""Eu, muitas vezes, me perco em meus pensamentos e contemplação me tornando alheio ao meu redor."",""Eu estou trabalhando em uma grande teoria filosófica e adoro partilhar minhas ideias.""],""defeitos"":[""Agora que voltei ao mundo, eu desfruto de seus prazeres um pouco demais."",""Eu escondo nas sombras, pensamentos sanguinários que meu isolamento e meditação não conseguiram apagar."",""Eu sou dogmático em meus pensamentos e filosofia."",""Eu deixo meu desejo de vencer discussões ofuscar amizades e harmonia."",""Eu me arrisco muito para descobrir um pouco de conhecimento perdido."",""Eu gosto de guardar segredos e não os partilho com ninguém.""],""vinculos"":[""Nada é mais importante que os outros membros do eremitério, ordem ou associação."",""Eu entrei em reclusão para me esconder daqueles que ainda devem estar me caçando. Algum dia irei confrontá-los."",""Eu ainda busco o esclarecimento que eu perseguia durante meu isolamento e continuo a me iludir."",""Eu entrei em reclusão porque eu amava alguém que eu não podia ter."",""Se minha descoberta vir à tona, ela poderá trazer destruição ao mundo."",""Meu isolamento me deu grande discernimento sobre um grande mal que apenas eu posso destruir.""]}",2025-10-17 02:22:45.864572+00,"[""Medicina"",""Religião""]","[""Kit de herbalismo""]",1,Um idioma à sua escolha
forasteiro,Forasteiro,Livro do Jogador,"Você cresceu na mata, longe da civilização e dos confortos da cidade e tecnologia. Você testemunhou a migração de manadas maiores que florestas, sobreviveu a clima mais extremo do que qualquer morador da cidade poderia compreender, e apreciou a solidão de ser a única criatura pensante por quilômetros em qualquer direção.","[""Um cajado"",""Uma armadilha de caça"",""Um troféu de um animal que você matou"",""Um conjunto de roupas de viajante"",""Uma bolsa contendo 10 po""]","{""nome"":""Andarilho"",""descricao"":""Você tem uma excelente memória para mapas e geografia, e você sempre pode se lembrar do layout geral do terreno, assentamentos e outras características ao seu redor. Além disso, você pode encontrar comida e água fresca para você e até cinco outras pessoas a cada dia, desde que a terra ofereça bagas, pequenos jogos, água e assim por diante.""}","{""ideais"":[""Mudança. A vida é como as estações, em constante mudança, e nós devemos mudar com ela. (Caótico)"",""Bem maior. É responsabilidade de todos trazer a maior felicidade para toda a tribo. (Bom)"",""Honra. Se eu me desonrar, eu desonrarei todo o meu clã. (Leal)"",""Força. O mais forte deve governar. (Mau)"",""Natureza. O mundo natural é mais importante que todas as construções da civilização. (Neutro)"",""Gloria. Eu devo adquirir gloria em batalha, para mim e para meu clã. (Qualquer)""],""tracos"":[""Eu fui guiado por uma sede de viagens que me levou a abandonas meu lar."",""Eu cuido dos meus amigos como se eles fossem filhotes recém-nascidos."",""Certa vez, eu corri quarenta quilômetros sem parar alertar meu clã da aproximação de uma horda orc. Eu faria de novo se fosse necessário."",""Eu tenho uma lição pra cada situação, aprendida observando a natureza."",""Eu não vejo lugar para o povo rico e educado. Dinheiro e modos não vão salvá-lo de um urso-coruja faminto."",""Estou sempre pegando coisas, distraidamente brincando com elas e, às vezes, quebrando-as."",""Eu me sinto muito mais confortável entre animais que entre pessoas."",""Eu fui, de fato, criado por lobos.""],""defeitos"":[""Sou muito apaixonado por cerveja, vinho e outras bebidas."",""Não existe lugar para precaução em uma vida vivida ao máximo."",""Eu lembro de cada insulto que sofri e nutro um ressentimento silencioso contra qualquer um que já tenha me insultado"",""Eu tenho dificuldade em confiar em membros de outras raças, tribos ou sociedades."",""A violência é minha resposta para quase todos os obstáculos."",""Não espere que eu salve aqueles que não conseguem se virar sozinhos. É a lei da natureza que os fortes prosperem e os fracos pereçam.""],""vinculos"":[""Minha família, clã ou tribo é a coisa mais importante na minha vida, mesmo quando eles estão longe."",""Uma ofensa a natureza intocada do meu lar é uma ofensa a mim."",""Eu trarei uma fúria terrível aos malfeitores que destruíram minha terra natal."",""Eu sou o último da minha tribo e cabe a mim garantir que seus nomes façam parte das lendas."",""Eu sofro de visões terríveis de um desastre vindouro, e farei qualquer coisa para impedi-lo."",""É meu dever prover filhos para sustentar minha tribo.""]}",2025-10-17 02:22:45.952432+00,"[""Atletismo"",""Sobrevivência""]","[""Um tipo de instrumento musical""]",1,Um idioma à sua escolha
herdeiro,Herdeiro,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""Sobrevivência"",""Uma entre Arcanismo/História/Religião""]","[""Um tipo de kit de jogo ou instrumento musical""]",1,Um idioma à sua escolha
heroi-povo,Herói do Povo,Livro do Jogador,"Você vem de uma origem humilde, mas está destinado a muito mais. As pessoas comuns de sua terra natal o veem como seu campeão, e seu destino o chama para lutar contra os tiranos e monstros que ameaçam o povo comum em todos os lugares.","[""Um conjunto de ferramentas de artesão (à sua escolha)"",""Uma pá"",""Um pote de ferro"",""Um conjunto de roupas comuns"",""Uma bolsa contendo 10 po""]","{""nome"":""Hospitalidade Rústica"",""descricao"":""Como você vem das fileiras do povo comum, você se encaixa facilmente entre eles. Você pode encontrar um lugar para se esconder, descansar ou recuperar entre os plebeus, a menos que você tenha se mostrado um perigo para eles. Eles o protegerão da lei ou de qualquer um que o procure, embora não arrisquem suas vidas por você.""}","{""ideais"":[""Respeito. As pessoas merecem ser tratadas com dignidade e respeito. (Bom)"",""Justiça. Ninguém merece tratamento diferenciado perante a lei, muito menos estar acima dela. (Leal)"",""Liberdade. Não pode haver permissão para tiranos oprimirem o povo. (Caótico)"",""Força. Se eu ficar forte, eu posso pegar tudo o que eu quiser – o que eu desejar. (Mal)"",""Sinceridade. Não há nada de bom em fingir ser algo que não sou. (Neutro)"",""Destino. Nada, nem ninguém, pode me manter longe do meu chamado. (Qualquer)""],""tracos"":[""Eu julgo as pessoas por suas ações, não por suas palavras."",""Se alguém está em apuros, eu estou sempre pronto para ajudar."",""Quando eu fixo minha mente em algo, eu sigo esse caminho, não importa o que fique no caminho."",""Eu possuo um forte senso de justiça e sempre tento encontrar a solução mais equilibrada para as discussões."",""Eu confio em minhas habilidades e farei o que for necessário para que os outros confiem também."",""Pensar é para os outros, eu prefiro agir."",""Eu abuso de palavras longas na tentativa de soar inteligente."",""Eu me entedio fácil. Para onde devo ir para me encontrar com meu destino?""],""defeitos"":[""O tirano que comanda minha terra não vai parar até ver meu cadáver."",""Eu estou convencido sobre o significado do meu destino, e cego aos riscos e falhas."",""As pessoas que me conhecem desde criança sabem de um vergonhoso segredo meu, eu não poderei voltar para casa nunca."",""Eu tenho uma fraqueza pelos vícios da cidade, especialmente a bebedeira."",""Secretamente, eu acredito que as coisas estariam melhores se algum tirano comandasse a região."",""Eu tenho dificuldades em confiar em meus aliados.""],""vinculos"":[""Eu tenho família, embora não faça a mínima ideia de onde eles estão, espero encontrá-los um dia."",""Eu trabalho a terra, eu amo a terra e eu vou defender a terra."",""Um nobre orgulhoso me deu uma bela surra, e eu vou ter minha vingança em qualquer valentão que encontrar."",""Minhas ferramentas são símbolo de minha vida passada, eu as carregarei para nunca me esquecer de minhas origens."",""Eu devo proteger aqueles que não podem se defender."",""Gostaria que meu amor viesse comigo para seguir meu destino.""]}",2025-10-17 02:22:46.03741+00,"[""Lidar com Animais"",""Sobrevivência""]","[""Um tipo de ferramenta de artesão"",""Veículos (terrestres)""]",0,
marinheiro,Marinheiro,Livro do Jogador,"Você navegou em um navio marítimo por anos. Naquele tempo, você enfrentou tempestades devastadoras, monstros das profundezas e aqueles que queriam afundar seu barco nos infinitos abismos.","[""Um malho (clava)"",""15 metros de corda de seda"",""Um amuleto da sorte (pé de coelho ou pequena pedra com buraco)"",""Um conjunto de roupas comuns"",""Uma bolsa contendo 10 po""]","{""nome"":""Passagem de Navio"",""descricao"":""Quando você precisar, você pode garantir passagem gratuita em um navio à vela para você e seus companheiros de aventura. Você pode viajar no navio em que serviu, ou em outro navio com o qual você tenha boas relações. Como você está pedindo um favor, não pode ter certeza de um cronograma ou rota que atenderá todas as suas necessidades. Seu Mestre determinará quanto tempo leva para chegar onde você precisa ir. Em troca da sua passagem gratuita, espera-se que você e seus companheiros ajudem a tripulação durante a viagem.""}","{""ideais"":[""Respeito. A coisa que mantem um navio unido é o respeito mútuo entre o capitão e a tripulação. (Bem)"",""Justiça. Todos nós fazemos o trabalho, portanto, todos partilhamos os espólios. (Leal)"",""Liberdade. O mar é liberdade – a liberdade de ir aonde quiser. (Caótico)"",""Domínio. Eu sou um predador e os outros navios no mar são minhas presas. (Mau)"",""Povo. Eu sou apegado aos meus companheiros de tripulação, não a ideais. (Neutro)"",""Aspiração. Algum dia eu serei dono do meu próprio navio e traçarei meu próprio destino. (Qualquer)""],""tracos"":[""Meus amigos sabem que podem contar comigo pro que der e vier."",""Eu trabalho duro para que possa me divertir muito quando o trabalho estiver pronto."",""Eu gosto de navegar para novos portos e fazer novas amizades acompanhado de uma jarra de cerveja."",""Eu modifico alguns fatos para o bem de uma boa história."",""Pra mim, uma briga de taverna é uma ótima forma de conhecer uma nova cidade."",""Eu nunca deixo passar uma aposta amigável."",""Meu vocabulário é tão sujo quanto o covil de um otyugh."",""Eu gosto de trabalhos bem feitos, especialmente se eu puder convencer alguém a fazê-los.""],""defeitos"":[""Eu sigo ordens, mesmo que eu ache que estão erradas."",""Eu direi qualquer coisa para evitar trabalho extra."",""Certa vez, alguém duvidou da minha coragem, eu nunca recuo, não importa o quão perigosa seja a situação."",""Quando começo a beber, é difícil pra mim parar."",""Eu não resisto a uma sacolinha de moedas dando sopa ou outras bugigangas que encontro."",""Meu orgulho provavelmente levará a minha destruição.""],""vinculos"":[""Eu sou leal ao meu capitão, primeiramente, o resto vem em segundo."",""O navio é o mais importante – tripulantes e capitães vem e vão."",""Eu sempre me lembrarei do meu primeiro navio."",""Em uma cidade portuária, eu tenho uma amante que quase me roubou do mar."",""Eu fui enganado na divisão dos espólios e eu quero o que me é devido."",""Cruéis piratas mataram meu capitão e companheiros de tripulação, saquearam nosso navio e me deixaram para morrer. A vingança será minha.""]}",2025-10-17 02:22:46.129543+00,"[""Atletismo"",""Percepção""]","[""Ferramentas de navegador"",""Veículos (aquáticos)""]",0,
mercenario-veterano,Mercenário Veterano,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""Atletismo"",""Persuasão""]","[""Um tipo de kit de jogo"",""Veículos (terrestres)""]",0,
nobre,Nobre,Livro do Jogador,"Você entende riqueza, poder e privilégio. Você carrega um título nobre, e sua família possui terras, cobra impostos e exerce influência política significativa.","[""Um conjunto de roupas finas"",""Um anel de sinete"",""Um pergaminho de pedigree"",""Uma bolsa contendo 25 po""]","{""nome"":""Posição de Privilégio"",""descricao"":""Graças à sua nascença nobre, as pessoas estão inclinadas a pensar o melhor de você. Você é bem-vindo na alta sociedade, e as pessoas presumem que você tem o direito de estar onde quer que esteja. O povo comum faz todos os esforços para acomodá-lo e evitar seu deslocamento, e outros de alto nascimento tratam você como um membro da mesma esfera social. Você pode garantir uma audiência com um nobre local se precisar.""}","{""ideais"":[""Respeito. O respeito a mim é devido por causa da minha posição, mas todas as pessoas, independentemente da posição merecem ser tratados com dignidade. (Bom)"",""Responsabilidade. É o meu dever respeitar a autoridade daqueles acima de mim, assim como aqueles abaixo de mim devem me respeitar. (Leal)"",""Independência. Devo provar que posso me cuidar sem os mimos da minha família. (Caótico)"",""Poder. Se eu puder alcançar mais poder, ninguém vai me dizer o que fazer. (Mau)"",""Família. O sangue corre mais grosso que a água. (Qualquer)"",""Obrigação Nobre. É o meu dever proteger e cuidar das pessoas abaixo de mim. (Bom)""],""tracos"":[""Minha bajulação eloquente faz com que todos com quem eu converse se sintam a pessoa mais maravilhosa e importante do mundo."",""As pessoas comuns me amam por minha bondade e generosidade."",""Ninguém pode duvidar, olhando para o meu porte real, que estou acima das massas plebeias."",""Eu tenho grande cuidado de sempre estar no meu melhor e seguir as últimas modas."",""Eu não gosto de sujar minhas mãos, e eu não vou ser pego em acomodações inadequadas."",""Apesar da minha origem nobre, eu não estou acima dos outros. O sangue é um só."",""Meu apoio, uma vez perdido, não volta."",""Se você me ferir, eu irei esmagá-lo, arruinar seu nome, e salgar seus campos.""],""defeitos"":[""Eu secretamente acredito que todos estão abaixo de mim."",""Eu escondo um segredo verdadeiramente escandaloso que poderia arruinar minha família para sempre."",""Muitas vezes eu ouço insultos e ameaças veladas em cada palavra dirigida a mim, e me irrito muito rápido."",""Eu tenho um desejo insaciável por prazeres carnais."",""Na verdade, o mundo gira ao meu redor."",""Pelas minhas palavras e ações, muitas vezes, envergonho minha família.""],""vinculos"":[""Eu vou encarar qualquer desafio para ganhar a aprovação da minha família."",""A aliança da minha casa com outra família nobre deve ser mantida a todo custo."",""Nada é mais importante do que os outros membros da minha família."",""Eu sou apaixonado pela herdeira de uma família que a minha família despreza."",""Minha lealdade ao meu soberano é inabalável."",""As pessoas comuns devem me ver como um herói do povo.""]}",2025-10-17 02:22:46.217209+00,"[""História"",""Persuasão""]","[""Um tipo de kit de jogo""]",1,Um idioma à sua escolha
nobre-aguas-profundas,Nobre de Águas Profundas,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""História"",""Persuasão""]","[""Um tipo de kit de jogo ou instrumento musical""]",1,Um idioma à sua escolha
orfao,Órfão,Livro do Jogador,"Você cresceu nas ruas sozinho, órfão e pobre. Você não tinha ninguém para cuidar de você, então você aprendeu a cuidar de si mesmo. Você lutou ferozmente por comida e manteve um olho atento para outras almas desesperadas que poderiam roubar de você.","[""Uma pequena faca"",""Um mapa da cidade em que você cresceu"",""Um rato de estimação"",""Um símbolo para lembrar seus pais"",""Um conjunto de roupas comuns"",""Uma bolsa contendo 10 po""]","{""nome"":""Segredos da Cidade"",""descricao"":""Você conhece os padrões secretos e o fluxo das cidades e pode encontrar passagens através da paisagem urbana que outros perderiam. Quando você não está em combate, você (e companheiros que você lidera) pode viajar entre quaisquer dois locais na cidade duas vezes mais rápido do que sua velocidade normalmente permitiria.""}","{""ideais"":[""Respeito. Todas as pessoas, ricas ou pobres, merecem respeito. (Bom)"",""Comunidade. Nós temos que tomar conta uns dos outros, porque ninguém mais o fará. (Leal)"",""Mudança. Os baixos se erguerão e os altos irão tombar. A mudança é a natureza das coisas. (Caótico)"",""Retribuição. Os ricos precisam ver como a vida e morte é nas sarjetas. (Mau)"",""Povo. Eu ajudo as pessoas que me ajudam – é isso que nos mantem vivos. (Neutro)"",""Aspiração. Eu vou provar que sou merecedor de uma vida melhor. (Qualquer)""],""tracos"":[""Eu escondo pedaços de comida e bugigangas em meus bolsos."",""Eu pergunto um monte e coisas."",""Eu gosto de me espremer em locais pequenos onde ninguém possa me alcançar."",""Eu durmo encostado em um muro ou árvore, abraçado com todas as minhas posses."",""Eu como feito um porco e tenho maus modos."",""Eu acho que todos que são gentis comigo tem segundas intenções."",""Eu não gosto de tomar banho."",""Eu digo na cara o que as outras pessoas insinuam ou escondem.""],""defeitos"":[""Se eu estiver em desvantagem, eu vou fugir de uma briga."",""Ouro parece ser muito dinheiro pra mim, e eu faria praticamente qualquer coisa por mais dele."",""Eu nunca vou confiar em ninguém plenamente, além de mim mesmo."",""Eu prefiro matar alguém enquanto dorme que uma luta justa."",""Não é roubo se eu preciso mais que outra pessoa."",""As pessoas que não podem se virar sozinhas, tem o que merecem.""],""vinculos"":[""Minha cidade ou vila é meu lar, e eu vou lutar para defendê-lo."",""Eu patrocino um orfanato para que outros não passem pelo que fui forçado a passar."",""Eu devo minha sobrevivência a outros órfão que me ensinou a vida nas ruas."",""Eu tenho uma dívida que nunca poderei pagar com uma pessoa que teve pena de mim."",""Eu sai da minha vida de pobreza roubando uma pessoa importante, eu sou procurado por isso."",""Ninguém deveria ter suportar as dificuldades pelas quais passei.""]}",2025-10-17 02:22:46.303539+00,"[""Prestidigitação"",""Furtividade""]","[""Kit de disfarce"",""Ferramentas de ladrão""]",0,
sabio,Sábio,Livro do Jogador,"Você passou anos aprendendo as tradições de seu mundo. Você vasculhou manuscritos, estudou pergaminhos e ouviu os maiores especialistas sobre os assuntos que lhe interessam. Seus esforços fizeram de você um mestre em seus campos de estudo.","[""Um frasco de tinta preta"",""Uma pena"",""Uma faca pequena"",""Uma carta de um colega morto com uma pergunta que você ainda não conseguiu responder"",""Um conjunto de roupas comuns"",""Uma bolsa contendo 10 po""]","{""nome"":""Pesquisador"",""descricao"":""Quando você tenta aprender ou lembrar de uma informação, se você não souber essa informação, você muitas vezes sabe onde e de quem você pode obtê-la. Geralmente, essas informações vêm de uma biblioteca, scriptorium, universidade, ou de um sábio ou outra pessoa ou criatura erudita. Seu Mestre pode decidir que o conhecimento que você procura está escondido em um lugar quase inacessível, ou simplesmente não pode ser encontrado. Desenterrar os segredos mais profundos do multiverso pode exigir uma aventura ou até mesmo uma campanha inteira.""}","{""ideais"":[""Conhecimento. O caminho para o poder e o auto aperfeiçoamento é através do conhecimento. (Neutro)"",""Beleza. O que é belo nos mostra o que está além disso perto do que é verdadeiro. (Bom)"",""Logica. Emoções não devem nublar seu pensamento lógico. (Leal)"",""Sem Limites. Nada pode apaziguar a possibilidade infinita de toda a existência. (Caótico)"",""Poder. Conhecimento é o caminho para o poder e a dominação. (Mau)"",""Auto Aperfeiçoamento. O objetivo de uma vida de estudos é a melhoria de si mesmo. (Qualquer)""],""tracos"":[""Eu uso palavras polissilábicas para endossar minha impressão de grande erudição."",""Eu já li todos os livros das grandes bibliotecas – ou gosto de me vangloriar e dizer que li."",""Eu costumo ajudar os outros que não são tão inteligentes quanto eu, e pacientemente explico tudo quantas vezes forem necessárias."",""Nada para mim é melhor que um bom mistério."",""Eu voluntariamente escuto cada lado, e seus argumentos, antes de tomar uma decisão final."",""Eu...falo...lentamente...ao...conversar...com idiotas...que tentam...se comparar...comigo."",""E sou horrível e estranho em situações sociais."",""Estou convencido de que todos tentam roubar os meus segredos de mim.""],""defeitos"":[""Eu me distraio facilmente com a promessa de informação."",""Muitas pessoas gritam e correm quando veem um corruptor. Eu paro e tomo notas de sua anatomia."",""Desvendar um mistério ancestral pode muito bem valer o preço e uma civilização."",""E prefiro soluções óbvias a complicadas."",""Eu falo sem antes pensar em minhas palavras, invariavelmente insultando outros."",""Eu não consigo guardar um segredo para salvar minha vida. Ou a vida de qualquer outra pessoa.""],""vinculos"":[""É meu dever proteger meus estudantes."",""Eu guardo um texto ancestral que contém terríveis segredos que não podem cair em mãos erradas."",""Eu trabalho para preservar uma biblioteca, universidade, arquivo de escribas ou monastério."",""O trabalho a da minha vida é uma série de tomos relatando um campo de conhecimento específico."",""Eu venho procurando a minha vida inteira pela resposta de certa questão."",""Eu vendi minha alma por conhecimento. Espero realizar grandes feitos para ganhá-la de volta.""]}",2025-10-17 02:22:46.388214+00,"[""Arcanismo"",""História""]",,2,Dois idiomas à sua escolha
soldado,Soldado,Livro do Jogador,"A guerra tem sido sua vida pelo tempo que você se lembra. Você se treinou quando jovem, estudou o uso de armas e armaduras, aprendeu técnicas básicas de sobrevivência, incluindo como ficar vivo no campo de batalha.","[""Uma insígnia de patente"",""Um troféu tirado de um inimigo caído (adaga, lâmina quebrada ou pedaço de bandeira)"",""Um conjunto de dados de osso ou baralho de cartas"",""Um conjunto de roupas comuns"",""Uma bolsa contendo 10 po""]","{""nome"":""Patente Militar"",""descricao"":""Você tem uma patente militar de sua carreira como soldado. Soldados leais à sua antiga organização militar ainda reconhecem sua autoridade e influência, e eles deferem para você se forem de uma patente mais baixa. Você pode invocar sua patente para exercer influência sobre outros soldados e requisitar equipamento simples ou cavalos para uso temporário. Você também geralmente pode obter acesso a acampamentos militares e fortalezas amigáveis onde sua patente é reconhecida.""}","{""ideais"":[""Bem Maior. Nosso destino é dar nossas vidas em defesa de terceiros. (Bom)"",""Responsabilidade. Eu faço o que tenho que fazer e obedeço apenas a autoridade. (Leal)"",""Independência. Quando pessoas seguem ordens cegas elas apoiam um tipo de tirania. (Caótico)"",""Força. A vida é como uma guerra, o mais forte vence. (Mau)"",""Viva e Deixa Viver. Ideais não valem a pena se você matar, ou for à guerra por eles. (Neutro)"",""Aspiração. Minha cidade, nação ou meu povo, são tudo o que importa para mim. (Qualquer)""],""tracos"":[""Eu sou sempre polido e respeitoso."",""Eu sou assombrado pelas memórias da guerra. Não consigo tirar aquelas imagens da minha cabeça."",""Eu perdi muitos amigos, e sou muito devagar para fazer novos."",""Eu tenho muitas histórias de inspiração e cautela da época de minha experiência militar que são relevantes em todas as situações de combate."",""Eu não consigo encarar um cão infernal sem vacilar."",""Eu gosto de ser forte e de quebrar coisas."",""Eu tenho um senso de humor grosseiro."",""Eu enfrento os problemas de frente. Uma solução direta é o melhor caminho para o sucesso.""],""defeitos"":[""O inimigo monstruoso que enfrentei em uma batalha ainda me deixa tremendo de medo."",""Eu tenho pouco respeito por aqueles que não se provam bons combatentes."",""Eu cometi um terrível erro em batalha, o que custou muitas vidas – eu farei de tudo para manter esse erro em segredo."",""Meu ódio por meus inimigos é cego e irracional."",""Eu obedeço a lei, mesmo se a lei trouxer a angústia."",""Eu prefiro comer minha armadura a admitir que estou errado.""],""vinculos"":[""Eu ainda daria a minha vida pelas pessoas com quem servi."",""Alguém salvou minha vida no campo de batalha. Desde aquele dia eu nunca deixo nenhum amigo para trás."",""Minha honra é minha vida."",""Eu nunca esquecerei a destruidora derrota que minha companhia sofreu ou os inimigos que a causaram."",""Aqueles que lutam ao meu lado são aqueles por quem vale a pena morrer."",""Eu luto por aqueles que não podem lutar por si mesmos.""]}",2025-10-17 02:22:46.480157+00,"[""Atletismo"",""Intimidação""]","[""Um tipo de kit de jogo"",""Veículos (terrestres)""]",0,
tribal-uthgardt,Tribal Uthgardt,Guia de Aventuras da Costa da Espada,"Embora você possa ter deixado sua tribo para trás, você ainda é um membro do povo Uthgardt, um grupo de humanos bárbaros que habitam as terras selvagens do Norte. Você está familiarizado com as tradições de seu povo, tendo sido criado sob seus costumes e treinado em suas habilidades.","[""Um cajado"",""Uma armadilha de caça"",""Um totem tribal representando seu animal totem"",""Um conjunto de roupas de viajante"",""Uma bolsa contendo 10 po""]","{""nome"":""Herança Uthgardt"",""descricao"":""Você tem um profundo conhecimento da história, mitologia e cultura Uthgardt. Você pode encontrar facilmente comida e abrigo para você e seus companheiros nas terras habitadas pelos Uthgardt ou perto de túmulos dos ancestrais. Membros de outras tribos Uthgardt veem você como um parente e estão dispostos a ajudá-lo, a menos que você tenha feito algo para antagonizar sua tribo específica. Você também tem conhecimento das tradições sagradas Uthgardt e pode reconhecer locais sagrados e símbolos tribais.""}",,2025-10-17 02:22:46.648848+00,"[""Atletismo"",""Sobrevivência""]","[""Um tipo de ferramenta de artesão ou instrumento musical""]",1,Um idioma à sua escolha
viajante-distante,Viajante Distante,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""Intuição"",""Percepção""]","[""Um tipo de kit de jogo ou instrumento musical""]",1,Um idioma à sua escolha
vigia-cidade,Vigia da Cidade,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""Atletismo"",""Intuição""]",,2,Dois idiomas à sua escolha
